datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude
2007-10-15 13:00:00,sacramento,ca,us,sphere,600,10 minutes,Silver sphere in sky during news report about fire.,2008-10-31,38.5816667,-121.4933333
2012-10-17 19:00:00,san rafael,ca,us,flash,10,10 seconds,Scanning striped light passes over my car accompanied by three flashes and two beams across the sky.,2012-10-30,37.9736111,-122.53
1998-10-21 1:30:00,campbell,ca,us,other,600,10minutes,American stealth and flying sub dissapear into a portal above a house in Campbell ca 95008,2002-01-11,37.2872222,-121.9488889
2006-10-20 3:45:00,foster city,ca,us,light,30,30 seconds,Four people witnessed a plasma ball hover right in front of them as it changed colors and then it moved off.,2011-12-12,37.5586111,-122.27
1999-10-02 19:15:00,tracy,ca,us,other,20,20 sec,Ablation Cone with trailing smoke contrail Moving South to North.  Extingushed at near overhead.  Cone angle 20 approx. Deg.,1999-10-19,37.7397222,-121.4241667
2011-10-25 21:30:00,vacaville,ca,us,diamond,120,2minutes,huge&#44 dark&#44 diamond shape craft with lights that formed a triangle,2011-12-12,38.3566667,-121.9866667
2012-10-26 6:10:00,napa,ca,us,circle,30,20 to 30 seconds,Two craft side by side&#44 from north to south pulsing red then green circular light&#44 4 pulses total.,2012-10-30,38.2972222,-122.2844444
1987-10-30 22:00:00,pleasant hill,ca,us,sphere,180,3 minutes,Close Encounter With Low-Flying Glowing Orange Orb,2013-08-30,37.9480556,-122.0597222
2013-10-30 21:20:00,palo alto,ca,us,disk,120,1-2 minutes,Disk-shaped object with red/blue/green lights flowing left to right that appeared to stop and become a horizontal bar of light.,2013-11-11,37.4419444,-122.1419444
2012-10-09 8:10:00,antioch,ca,us,light,180,3 minutes,2 lights being chase by 2 fighters at night.,2012-10-30,38.005,-121.8047222
1999-11-16 22:40:00,burlingame,ca,us,other,1,less than a second,This is in referance to the request on Art bells show to submit sighting on the night of november 16.  This is what I saw...,1999-11-17,37.5841667,-122.365
2005-01-01 1:49:00,brentwood,ca,us,rectangle,600,10 minutes,I went outside to turn off the hot tub and I saw an orange glowing light in the distance. The light seemed to be getting closer. As I l,2005-01-11,37.9319444,-121.6947222
2003-01-01 0:15:00,suisun city (fairfield),ca,us,circle,420,7 minutes,Orange ball&#44 silent and fast acrossed sky&#44 stoppped&#44 was burning? Embers falling&#44 turn silver and move at unreal speed&#44 disappeared,2003-03-11,38.2383333,-122.0391667
2013-01-01 0:04:00,modesto,ca,us,changing,180,3 minutes,3 red lights in triangle shape change shape and fade away,2013-02-04,37.6391667,-120.9958333
2012-01-01 19:20:00,west sacramento,ca,us,cylinder,120,2 minutes,Unknown craft heading Southeast from the Northwest at approx 5 thousand feet..reflecting lite only..no apparent onboard lighting,2012-01-12,38.5816667,-121.4933333
2014-01-01 0:20:00,santa clara,ca,us,sphere,1500,25 minutes,Three fiery orange-red orbs&#44 all seen about 5 minutes apart&#44 ascended into space on a near vertical path.,2014-01-10,37.3541667,-121.9541667
2003-11-20 18:00:00,marin,ca,,cylinder,600,5 - 10 minutes,Bright&#44 yellow UFO crashes in California.,2003-11-26,38.083403,-122.763304
1980-01-12 23:00:00,orinda,ca,us,sphere,2400,40 minutes,My house was on the golf course  i became very uneasy and had butterflys in my stomache  I picked up a firearm  before the sighting a s,2005-02-08,37.8772222,-122.1786111
2007-11-02 20:15:00,discovery bay,ca,us,other,1800,30 minutes,Object which looked like a lighted jellyfish pulsating around a star below and to the right of Cassiopea.,2007-11-28,37.9086111,-121.5991667
1996-11-23 19:30:00,french camp,ca,us,,300,5 min.,Fem. empl. of sheriff&#39s off. on way to work sees large&#44 round obj. w/ bright lights rotating&#44 moving in W sky. Very prominant&#44 strange.,1999-11-02,37.8841667,-121.27
1999-11-23 11:15:00,half moon bay,ca,us,chevron,300,5min.-+,70+ chevron-shaped aircraft&#44 approx. 40&#44000`&#44 flying from northeast to southwest over Half Moon Bay&#44 CA&#44 like someone opened up at box,1999-11-23,37.4636111,-122.4275
2009-11-04 18:00:00,pleasanton,ca,us,other,2700,45 minutes,Odd lights of Noiseless Hovering Object seen gliding slowly over Pleasanton towards Livermore CA,2009-12-12,37.6625,-121.8736111
7860,,,,,,,,,,
