datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude
2002-10-12 11:00:00,san leandro,ca,us,disk,600,10 minutes,Bright white disk&#44 stationery for ten minutes&#44 and then in an instant disappeared completely.,2002-10-28,37.725,-122.155
1996-10-15 0:45:00,san mateo,ca,us,light,600,10 minutes,Silent  Close Range White Light seen on Highway 280 south of Highway 92. Witnessed by 3.,2003-12-19,37.5630556,-122.3244444
2012-10-17 19:00:00,san rafael,ca,us,flash,10,10 seconds,Scanning striped light passes over my car accompanied by three flashes and two beams across the sky.,2012-10-30,37.9736111,-122.53
1985-10-15 0:00:00,san ramon,ca,us,disk,300,5 mins,In 1985 I saw a silver saucer directly over my house in California.,2011-05-02,37.78,-121.9769444
2014-01-01 0:20:00,santa clara,ca,us,sphere,1500,25 minutes,Three fiery orange-red orbs&#44 all seen about 5 minutes apart&#44 ascended into space on a near vertical path.,2014-01-10,37.3541667,-121.9541667
2000-10-01 18:00:00,stockton,ca,us,sphere,180,2-3 minutes,Two strange bright objects at dusk in the central valley.,2002-07-01,37.9577778,-121.2897222
2001-10-13 22:00:00,stockton2,ca,us,triangle,120,1 or 2 min.,triangle stealth like object.,2001-11-20,37.9577778,-121.2897222
2003-01-01 0:15:00,suisun city (fairfield),ca,us,circle,420,7 minutes,Orange ball silent and fast across sky. Stoppped was burning? Embers falling turn silver and move at unreal speed disappeared,2003-03-11,38.2383333,-122.0391667
2008-10-01 22:45:00,sunnyvale,ca,us,unknown,20,20 seconds,flashing object with erratic motion,2008-10-31,37.3688889,-122.0352778
2010-10-13 20:30:00,sunol,ca,us,unknown,12,12 seconds,Star that stops&#44 slows&#44 stops&#44slows&#44then drops out of sight.,2010-11-21,37.5944444,-121.8875
1999-10-02 19:15:00,tracy,ca,us,unknown,20,20 sec,Ablation Cone with trailing smoke contrail Moving South to North.  Extingushed at near overhead.  Cone angle 20 approx. Deg.,1999-10-19,37.7397222,-121.4241667
2010-10-11 21:35:00,union city,ca,us,unknown,15,15 seconds,Opposing lights of amber that sliently crossed low in the sky.,2010-11-21,37.5958333,-122.0180556
2011-10-25 21:30:00,vacaville,ca,us,diamond,120,2minutes,huge&#44 dark&#44 diamond shape craft with lights that formed a triangle,2011-12-12,38.3566667,-121.9866667
2008-10-14 17:00:00,vallejo,ca,us,sphere,12,10-12 seconds,Sunning in backyard&#44 small round object&#44 gray and transluscent&#44 incredible speed&#44 10 to 12 seconds.,2008-10-31,38.1041667,-122.2555556
2002-10-14 19:00:00,walnut creek,ca,us,light,300,3-5 minutes,Bright &quot;searchlight&quot; as the sun set ((Vandenberg rocket launch.  PD)),2002-10-15,37.9063889,-122.0638889
2012-01-01 19:20:00,west sacramento,ca,us,cylinder,120,2 minutes,Unknown craft heading Southeast from the Northwest at approx 5 thousand feet..reflecting lite only..no apparent onboard lighting,2012-01-12,38.5816667,-121.4933333
